#SampleID	Dataset	FullName	Site	Condition
376B	1	376B	New-Caledonia	B
378B	2	378B	New-Caledonia	B
382A	3	382A	New-Caledonia	A
386A	4	386A	New-Caledonia	A
391A	5	391A	New-Caledonia	A
394B	6	394B	New-Caledonia	B
396B	7	396B	New-Caledonia	B
397A	8	397A	New-Caledonia	A
402A	9	402A	New-Caledonia	A
407B	10	407B	New-Caledonia	B
414A	11	414A	New-Caledonia	A
415B	12	415B	New-Caledonia	B
419A	13	419A	New-Caledonia	A
423B	14	423B	New-Caledonia	B
426B	15	426B	New-Caledonia	B
434B	16	434B	New-Caledonia	B
440B	17	440B	New-Caledonia	B
444A	18	444A	New-Caledonia	A
448A	19	448A	New-Caledonia	A
450A	20	450A	New-Caledonia	A
453A	21	453A	New-Caledonia	A
454A	22	454A	New-Caledonia	A
461A	23	461A	New-Caledonia	A
470B	24	470B	New-Caledonia	B
472B	25	472B	New-Caledonia	B
478B	26	478B	New-Caledonia	B
480A	27	480A	New-Caledonia	A
482B	28	482B	New-Caledonia	B
483B	29	483B	New-Caledonia	B
484B	30	484B	New-Caledonia	B
491B	31	491B	New-Caledonia	B
494A	32	494A	New-Caledonia	A
498A	33	498A	New-Caledonia	A
502A	34	502A	New-Caledonia	A
509A	35	509A	New-Caledonia	A
515A	36	515A	New-Caledonia	A
